station_UID,station_name,road_ID,road_name,M_km,lat_LKS94,long_LKS94,lat_WGS84,long_WGS84
1382,Vilkų sankryža,164,Mažeikiai–Plungė–Tauragė,39.54,373468,6214448,56.047308,21.968975
389,Pagramantis,164,Mažeikiai–Plungė–Tauragė,125.19,387048,6140252,55.384491,22.217428
229,Nida,167,Smiltynė–Nida,48.35,308169,6133586,55.30022,20.978687
1082,Mažeikiai,170,Mažeikiai–Skuodas,18.43,379600,6243123,56.306329,22.054346
5250,Levaniškiai,174,Ukmergė–Raguva–Nevėžis,34.6,543219,6155637,55.533788,24.684632
2601,Levaniškiai,174,Ukmergė–Raguva–Nevėžis,34.6,543219,6155637,55.533788,24.684632
404,Sudargas,184,Kiduliai–Ramoniškiai,7.41,415367,6101253,55.039903,22.675869
381,Užlaukis,193,Kvėdarna–Švėkšna–Saugos,24.59,350983,6154815,55.505593,21.640949
3961,Svirkančiai,194,Užventis–Tryškiai–Viekšniai,48.32,408410,6228541,56.181823,22.524768
312,Eržvilkas,198,Jurbarkas–Skaudvilė,21.2,416907,6126055,55.26293,22.692691
405,Vištytis,200,Kalvarija–Gražiškiai–Vištytis,33.9,417907,6036021,54.454363,22.734021
393,Pivašiūnai,220,Trakai–Rūdiškės–Pivašiūnai–Alytus,51.74,523194,6034784,54.449348,24.357641
1222,Užventis,223,Užventis–Varniai,2.09,413796,6182532,55.769637,22.626203
